text,label
i am posting this not to whine although a couple of days ago i sure would have liked to but to let you all know what it may be like to study abroad for such a long time and to feel homesick,0
i feel like i make some wonderful and unexpected friends during this trip,1
i didnt bring her to my house to meet my parents or like show her the estate i live in or what cause i got a feeling its gonna be damn boring showing her woodlands lol,0
i had been feeling positive and formed a routine with my exercise which is very minimal and consists of lying on my back trying to meditate a bent knee fall out and leg slides,1
i woke up this morning feeling like it was the summer of discontent,0
ive also been wondering when is drake going to drop a new album because im feeling deprived and im burning out his take care album,0
i am feeling hesitant this morning,4
i still had sufficient hair to feel shocked when i was subjected to the brutal trim administered by an army barber on my second day at catterick as a national service man,5
i feel worthless all over again,0
i found myself feeling regretful when she turned away to complete my order,0
i hate to see him feeling miserable,0
i was feeling like i hated winter you know cabin fever until i got out there and did something besides drive my car on icy roads,3
i feel curious about everything,5
i feel so aggravated,3
im feeling queezy and cant be bothered putting these in order so here goes,3
i realised that he is sensitive so ill try to make him not feel offended anymore,3
i was bored and feeling adventurous so i had a genius idea what if everything i wrote onto my usb also got synced to a cloud service,1
i feel like i should be surprised but somehow i m not,5
im feeling inspired to just wait for the movie,1
i believe we are always called to get to work to stop only feeling loss or sadness and to begin again with a faithful step forward,1
i get this stressed out all i want to do is sit down and write out my frustrations set them free and feel relieved that i dont have to hold onto them any longer,1
i was this overly dramatic teenage girl who felt things too sensitively just because i feel as if i am numb right now,0
i feel bos is really friendly looking and that s why i used it,1
i feel like she seems much more mellow since starting to date him,1
i feel really naughty and a bit guilty because i know how bad it is but ive already done it twice,2
im not feeling too friendly towards this lycee director so im not particularly looking forward to showing up tomorrow to paint,1
i feel invigorated and full of energy,1
i was feeling particularly gloomy,0
i remember sitting on the couch with a towel around my foot to stop the bleeding feeling defeated,0
i just wish there was a little more to it than the feel of a pleasant home movie as valuable as it may be to understanding him both as an artist and a person even a little better,1
i am around those that love me i feel amazing,5
i know but i do have a fantastic babysitter their second mum and what i really mean is that feeling of doing something a bit naughty,2
i had to explain this saying recently but i think it is a good analogy for getting yourself ready to create especially when youre not feeling that creative,1
i feel better when i ponder for a day,1
im feeling a bit rebellious and have been pouting most of the day,3
i cant help but feel bitter and jealous he takes her out to eat to the movies gets her presents sometimes and he uses the excuse i only do that to get her out of the house if i didnt then she would never want to leave,3
i started paying attention thanks to s madonna a song that had a slight new jack swing kind of feel long before shinee was oh so curious and their recent comeback centered around the single poison from their third official mini album feels a bit like madonna part,5
im not trying to be a bitch nor am i trying to hurt your feelings i just need to bring my guard back up amp protect whats been constantly and repeatedly damaged,0
i stay away from carbs nowadays gosh thank you for making me feel ugly oopa,0
im tired of feeling intimidated or shamed for having valid concerns about the escalating problems in this nation with the use abuse of weapons and i want to see something done about it,4
i feel for people i am a sympathetic crier amp a softy when it comes to sob stories amp other peoples hardships i feel for them it honestly makes me hurt to see others in such pain,2
i read about the most recent and most common reason why delhi is always in the news and i was feeling shocked horrified deeply pained and shameful to feel aware i am not really able to do anything substantial about this persistent problem in the so called capital of this country,5
i finally feel respected as dhs wife,1
i wake up get ready for the day and then immediately sit down to write i feel most productive and inspired to forge ahead,1
